model,split,target,r2,rmse,mae
growth_model,wf_2020,electricity_demand (TWh),0.9965029088910471,2.490813698771667,0.839894688172541
growth_model,wf_2020,electricity_demand_per_capita (MWh),0.9918090454388818,0.08500548950044831,0.0412702350360901
growth_model,wf_2020,electricity_demand_per_capita_with_access (MWh),0.9845197801595466,0.1221547484894656,0.0633514976986242
growth_model,wf_2020,energy_poverty_electricity (% of total population),0.8933162709859637,8.787917968273565,3.398543577330625
growth_model,wf_2020,energy_poverty_multidimensional (% of total population),0.9965667367492659,1.688207616327196,0.964526972210115
growth_model,wf_2020,carbon_intensity_elec,0.9813820604852307,32.43570129399223,23.603705511190487
persistence,wf_2020,electricity_demand (TWh),0.9984512279341184,1.6576068223069358,0.5758490566037736
persistence,wf_2020,electricity_demand_per_capita (MWh),0.9941013359189304,0.07213674575897397,0.03548659093313774
persistence,wf_2020,electricity_demand_per_capita_with_access (MWh),0.9850177825675019,0.12017381258846556,0.0658925338320886
persistence,wf_2020,energy_poverty_electricity (% of total population),0.9937098407281544,2.133868840021593,1.583018867924529
persistence,wf_2020,energy_poverty_multidimensional (% of total population),0.9979134390451949,1.3160968235873078,1.02688679245283
persistence,wf_2020,carbon_intensity_elec,0.9882895280976842,25.72436617478338,18.19735849056604
country_growth,wf_2020,electricity_demand (TWh),0.9975683695872057,2.07700028105855,0.792334130449879
country_growth,wf_2020,electricity_demand_per_capita (MWh),0.9915221608744781,0.0864813180080581,0.041810488306147295
country_growth,wf_2020,electricity_demand_per_capita_with_access (MWh),0.9837137169547497,0.12529472319618987,0.0656020131308146
country_growth,wf_2020,energy_poverty_electricity (% of total population),0.9945739012128281,1.9818954865461453,1.1187060902877999
country_growth,wf_2020,energy_poverty_multidimensional (% of total population),0.998784803603318,1.00437417955064,0.5801196721864931
country_growth,wf_2020,carbon_intensity_elec,0.9726587347366209,39.30671854124956,25.156613932256768
growth_model,wf_2021,electricity_demand (TWh),0.9988431159092599,1.4854688730461008,0.5997229847165002
growth_model,wf_2021,electricity_demand_per_capita (MWh),0.9979578706719947,0.042636307248533685,0.02724640785084254
growth_model,wf_2021,electricity_demand_per_capita_with_access (MWh),0.9940893832248833,0.07493797285662332,0.04952479306939956
growth_model,wf_2021,energy_poverty_electricity (% of total population),0.988797497068376,2.831844485404424,1.1655211736827784
growth_model,wf_2021,energy_poverty_multidimensional (% of total population),0.9984803539787119,1.1181047110718656,0.5885360142632636
growth_model,wf_2021,carbon_intensity_elec,0.9712220784686518,39.84695389272121,20.841828301184233
persistence,wf_2021,electricity_demand (TWh),0.9979977703086504,1.9542295687935864,0.8009433962264149
persistence,wf_2021,electricity_demand_per_capita (MWh),0.9978172523019809,0.04407981177670438,0.026213918257923678
persistence,wf_2021,electricity_demand_per_capita_with_access (MWh),0.9921563288102017,0.08632671790752972,0.050751290740075915
persistence,wf_2021,energy_poverty_electricity (% of total population),0.9941397249715533,2.0481929449206304,1.6339622641509435
persistence,wf_2021,energy_poverty_multidimensional (% of total population),0.9976626787117214,1.386661526357188,1.0801886792452837
persistence,wf_2021,carbon_intensity_elec,0.9667259004192145,42.84681765334349,21.281320754716983
country_growth,wf_2021,electricity_demand (TWh),0.99844965989284,1.719618555371259,0.7084279266901394
country_growth,wf_2021,electricity_demand_per_capita (MWh),0.9972510570300326,0.04946759846939914,0.032428669025231345
country_growth,wf_2021,electricity_demand_per_capita_with_access (MWh),0.9912425871856598,0.0912165098184617,0.061176532102787576
country_growth,wf_2021,energy_poverty_electricity (% of total population),0.9972277137815316,1.4087401734769531,0.6940330817026743
country_growth,wf_2021,energy_poverty_multidimensional (% of total population),0.9993322647060802,0.7411624780028884,0.3713053307290656
country_growth,wf_2021,carbon_intensity_elec,0.964992695805698,43.94857008894705,22.32385488563458
growth_model,wf_2022,electricity_demand (TWh),0.998902475105489,1.4566836049266585,0.48244253504082124
growth_model,wf_2022,electricity_demand_per_capita (MWh),0.9982525945378776,0.03980103335681352,0.023242813035860725
growth_model,wf_2022,electricity_demand_per_capita_with_access (MWh),0.9961647268001406,0.06132350880076739,0.043493443993035966
growth_model,wf_2022,energy_poverty_electricity (% of total population),0.990393860492584,2.594580564667231,1.5204390438563147
growth_model,wf_2022,energy_poverty_multidimensional (% of total population),0.9981992590564085,1.2101946000420787,0.7226684389339104
growth_model,wf_2022,carbon_intensity_elec,0.9877595885848818,25.716198802639997,18.548521366205772
persistence,wf_2022,electricity_demand (TWh),0.9990105395101473,1.383111750079345,0.631509433962264
persistence,wf_2022,electricity_demand_per_capita (MWh),0.9978038567419802,0.044619822324718464,0.027551910155112276
